database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	id	blank	standard	1_Location_Staakov_(n.7)_Genotype_Bojos_Field_A	2_Location_Staakov_(n.7)_Genotype_Kangoo_Field_B	3_Location_Kujavy_(n.12)_Genotype_Kangoo_Field_A	4_Location_Staakov_(n.7)_Genotype_Kangoo_Field_B	5_Location_Kujavy_(n.12)_Genotype_Bojos_Field_A	6_Location_Kujavy_(n.12)_Genotype_Sebastian_Field_B	7_Location_Staakov_(n.7)_Genotype_Bojos_Field_A	8_Location_Kujavy_(n.12)_Genotype_Sebastian_Field_B	9_Location_Staakov_(n.7)_Genotype_Sebastian_Field_A	10_Location_Lipa_(n.4)_Genotype_Sebastian_Field_B	11_Location_Kujavy_(n.12)_Genotype_Bojos_Field_A	12_Location_Staakov_(n.7)_Genotype_Sebastian_Field_B	13_Location_Kujavy_(n.12)_Genotype_Kangoo_Field_A	14_Location_Lipa_(n.4)_Genotype_Sebastian_Field_B	15_Location_Lipa_(n.4)_Genotype_Bojos_Field_A	16_Location_Lipa_(n.4)_Genotype_Kangoo_Field_B	17_Location_Lipa_(n.4)_Genotype_Kangoo_Field_A	18_Location_Vysoka¡_(n.6)_Genotype_Sebastian_Field_B	19_Location_Lipa_(n.4)_Genotype_Bojos_Field_A	20_Location_Vysoka¡_(n.6)_Genotype_Sebastian_Field_B	21_Location_Vysoka¡_(n.6)_Genotype_Bojos_Field_A	22_Location_Vysoka¡_(n.6)_Genotype_Kangoo_Field_B	23_Location_Vysoka¡_(n.6)_Genotype_Bojos_Field_A	24_Location_Vysoka¡_(n.6)_Genotype_Kangoo_Field_B	25_Location_Chrlice_(n.10)_Genotype_Sebastian_Field_A	26_Location_Chrastava_(n.2)_Genotype_Kangoo_Field_A	27_Location_Chrastava_(n.2)_Genotype_Bojos_Field_A	28_Location_Chrastava_(n.2)_Genotype_Sebastian_Field_A	29_Location_Chrastava_(n.2)_Genotype_Bojos_Field_B	30_Location_Chrastava_(n.2)_Genotype_Sebastian_Field_B	31_Location_Chrastava_(n.2)_Genotype_Kangoo_Field_B	32_Location_Krasne udoli_(n.8)_Genotype_Sebastian_Field_A	33_Location_Krasne udoli_(n.8)_Genotype_Kangoo_Field_A	34_Location_Krasne udoli_(n.8)_Genotype_Bojos_Field_B	35_Location_Krasne udoli_(n.8)_Genotype_Kangoo_Field_B	36_Location_Krasne udoli_(n.8)_Genotype_Bojos_Field_A	37_Location_Krasne udoli_(n.8)_Genotype_Sebastian_Field_B	38_Location_Zatec_(n.3)_Genotype_Bojos_Field_A	39_Location_Zatec_(n.3)_Genotype_Kangoo_Field_A	40_Location_Zatec_(n.3)_Genotype_Sebastian_Field_A	41_Location_Zatec_(n.3)_Genotype_Bojos_Field_B	42_Location_Zatec_(n.3)_Genotype_Sebastian_Field_B	43_Location_Zatec_(n.3)_Genotype_Kangoo_Field_B	44_Location_Tursko_(n.1)_Genotype_Bojos_Field_A	45_Location_Tursko_(n.1)_Genotype_Sebastian_Field_A	46_Location_Tursko_(n.1)_Genotype_Kangoo_Field_A	47_Location_Tursko_(n.1)_Genotype_Sebastian_Field_B	48_Location_Tursko_(n.1)_Genotype_Bojos_Field_B	49_Location_Tursko_(n.1)_Genotype_Kangoo_Field_B	50_Location_Chrlice_(n.10)_Genotype_Kangoo_Field_B	51_Location_Chrlice_(n.10)_Genotype_Sebastian_Field_A	52_Location_Chrlice_(n.10)_Genotype_Bojos_Field_B	53_Location_Chrlice_(n.10)_Genotype_Kangoo_Field_A	54_Location_Chrlice_(n.10)_Genotype_Bojos_Field_A	55_Location_Uhersky ostroh_(n.11)_Genotype_Kangoo_Field_A	56_Location_Uhersky ostroh_(n.11)_Genotype_Kangoo_Field_B	57_Location_Uhersky ostroh_(n.11)_Genotype_Bojos_Field_A	58_Location_Uhersky ostroh_(n.11)_Genotype_Sebastian_Field_A	59_Location_Uhersky ostroh_(n.11)_Genotype_Sebastian_Field_B	60_Location_Uhersky ostroh_(n.11)_Genotype_Bojos_Field_B	61_Location_Verovany_(n.9)_Genotype_Kangoo_Field_A	62_Location_Verovany_(n.9)_Genotype_Sebastian_Field_A	63_Location_Verovany_(n.9)_Genotype_Bojos_Field_B	64_Location_Verovany_(n.9)_Genotype_Kangoo_Field_B	65_Location_Verovany_(n.9)_Genotype_Sebastian_Field_B	66_Location_Verovany_(n.9)_Genotype_Bojos_Field_A	67_Location_Caslav_(n.5)_Genotype_Sebastian_Field_A	68_Location_Caslav_(n.5)_Genotype_Bojos_Field_B	69_Location_Caslav_(n.5)_Genotype_Kangoo_Field_A	70_Location_Caslav_(n.5)_Genotype_Bojos_Field_A	71_Location_Caslav_(n.5)_Genotype_Kangoo_Field_B	72_Location_Caslav_(n.5)_Genotype_Sebastian_Field_B
CHEBI:16899	C6H14O6	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1	D-Mannitol	614.31565		TMS	1	21.171	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.5				D-Mannitol, 6TMS	55064764.76	80708	231838312.1	257281431.9	411000773.1	148581405.5	509296234.5	401456412.3	206659633	402698121.4	204078648.4	519274830.8	388217950.4	222601036.8	362550463.3	559695467.7	521280262.4	614592029.8	538978166.7	288953201	628749610.4	317831420.2	330740432.8	232528364.3	239819007.8	156370859.3	248186356.9	427251417.8	473080979.9	566363316.5	698807188.8	626786674.1	567452830.8	258036291.5	124876626	412624916.2	155559091.6	29797728635	248814055.5	362943169.2	3.42E+11	587049451.7	15116153715	17060426515	244967044.1	2.32E+11	48779678210	584441388.7	2.48E+11	589902654.9	48693719670	41480364034	412624916.2	30437402393	206121054.9	261204907.6	240808200.7	336554744.9	388718058.3	379074142.5	348198948.4	416700416.2	156261127.9	233646769.4	271880617.1	239759871.9	270241812	206605211.9	261678260.1	231750473.4	219426599.3	251416737.8	190001515.4	32753787320
CHEBI:17053	C4H7NO4	N[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Aspartic acid	349.15554		TMS	1	16.175	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.6				L-Aspartic acid, 3TMS	80708	80708	116913735.7	146521686.9	183663877.4	168269705.6	93290106.17	207324662.8	117929421	175972990.7	230123131.1	182450914.3	145678567.3	203700600.9	128216492.8	184386403.2	133067473.4	158465572.8	137326672.8	181589380	105581141.6	170597361.4	105921896.6	137254479	133826860.2	142322949.9	237492014.8	106382795.4	95437764.82	124024487.2	90208590.61	135208893.5	119108466.9	174654731.1	148232064.4	245581263.1	173801398.5	2516766100	75815917.89	42526243.88	80708	48227595.54	9131919.109	80708	67004983.06	80708	80708	101246271.4	80708	79844681.41	198902564.4	80708	245581263.1	80708	117093867.2	80791342.18	79239251.11	101455433.4	138562488.6	158387640.8	110248777.2	107665443.7	92453505.66	120427257	58707486.4	136814987.4	178850308.2	113569375.3	139212442.9	70363133.41	61861955.66	80119040.81	94553922.76	214828274
CHEBI:18403	C5H12O5	OC[C@H](O)C(O)[C@@H](O)CO	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m0/s1	L-Arabitol	512.26556		TMS	1	18.754	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.6				L-Arabitol, 5TMS	362299.984	80708	116785163.6	126392215.2	107426244.4	92448717.44	140895691.3	127968219.7	132406234	148668883.3	104306548.3	93729740.37	99123980.74	131196043.1	108603086.3	101287837.5	82875618.07	99030618.14	79733894.22	72590078.03	81057388.08	110154424.8	73560638.3	83760743.68	94401378.14	73259074.66	61659569.27	60520361.01	59750397.3	82007847.22	56674510.44	53186246.31	53443177.88	72736582.07	77603557.44	84806013.93	109968778.3	1082822626	71540800.38	63068903.65	17933846495	108447974.1	3129360077	80708	100331883.3	15135919390	1476941614	86304356.65	17372496333	88615180.04	1332309252	1484113925	84806013.93	1132778428	63174632.14	59083695.23	66782681.38	98967765.69	111840437.7	97209020.07	108300875	118533381.7	60671710.68	81070539.25	66139718.26	73215955.58	87076292.36	66282676.01	125343155.6	119050953.3	109270080.5	112583483.4	101505625.1	1340538652
CHEBI:16015	C5H9NO4	N[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1	L-Glutamic acid	363.17119		TMS	1	17.506	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.7				L-Glutamic acid, 3TMS	80708	80708	421167531.7	297594726.3	345919718.1	308618160.4	333033666.1	428675030	388127990	344972746.9	534742873	397980314.4	398043318.8	356746906.9	240843089.7	432000165.3	357418829.3	348333788.5	318836067.8	464799494.9	327479026.3	474833372.3	315354577.5	320626269.1	335023703.8	224305051	354748028.3	254431936.1	263161062.3	318224490.3	320032114.4	302113102.6	255939053.3	295435962.6	259974695.1	182582649.4	18523846.03	170476651.7	43574796.59	5978359.139	80708	545714.4963	13095.37883	80708	7073551.875	80708	80708	197545752.5	80708	101712246.3	457243.0418	338230.2368	182582649.4	1392977.726	114580504.3	97079571.17	82873233.2	67852340.57	277766882.3	260974109.9	139928111.6	1085281.726	610761.1213	1932215.67	526557.4173	59321998.42	84395983.83	129500256.5	89486492.54	3875667.183	297628.2398	2512945.273	541301.4319	14779777.67
CHEBI:17754	C3H8O3	OCC(O)CO	InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2	Glycerol	308.16538		TMS	1	12.441	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.2				Glycerol, 3TMS	345062.9461	80708	63014153.14	50101032.53	42652659.34	37883855.29	38850050.15	36931821	53799992	32360785.24	43489267.96	37769289.76	36638860.74	49770507.7	36364076.58	45025210.89	40597995.98	39616024.38	34114927.95	55375880.38	50463164.02	59529181.37	55583814.14	76950240.19	50232168.35	82873971.13	42869148.23	78364305.97	78629152.53	84882005.38	83565021.19	77689566.68	81593751.22	81938128.37	93241554.44	58220409.4	102696094.3	80708	57826848.39	44748930.26	12166816860	47661654.94	1519205577	80708	65588575.98	8957130132	80708	45022237.25	6384405564	50857235.46	80708	80708	58220409.4	80708	54416896.37	50964404.93	52633316.31	53734778.22	68446706.87	50214370.88	60461511.8	52687070.04	57319717.07	71769594.88	59106063.41	62499781.86	52786015.64	54578409.06	101525494.2	70702438.7	61170497.32	64319077.05	70773176.11	80708
CHEBI:12936	C6H12O6			D-Galactose	569.28702		TMS, MOX	1	20.748	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	97.9				D-Galactose, 5TMS 1MOX isomer 1	80708	80708	10329890.64	10558629.86	11988854.22	9460747.213	12948903.67	11276768.87	10813278	11332039.55	8539575.531	9315294.804	9508954.239	7356304.254	9404787.818	7858117.481	9052216.052	11100214.02	8971584.311	9273240.55	9402660.418	10862328.35	10532429.48	10396904.76	9089820.859	11176224.83	7996774.061	16181559.81	11686678.07	14334737.48	10914962.24	11706874.1	12852575.06	9892605.745	11714506.45	10858619.8	13613563.85	80708	22430521.96	9664467.809	6343477081	13487715.35	350265526	80708	20681825.75	4825061591	80708	8746657.122	3352343363	242.0959523	80708	91703403.05	10858619.8	194784875.5	11323595.04	10018988.46	12016114.18	10966201.82	11497242.53	243211.8821	9430438.827	616912.9281	20603448.01	9068161.366	10651710.12	9971803.632	8977406.801	205560.5077	167938.9845	11028637.99	12878183.21	293825.2212	17960325.62	72515837.6
CHEBI:16865	C4H9NO2	NCCCC(O)=O	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	gamma-Aminobutyric acid	319.18136		TMS	1	16.317	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.9				gamma-Aminobutyric acid, 3TMS	80708	80708	74750973.81	32109899.73	67822982.6	55340772.44	39263138.92	31095363.44	178741181	26199222.97	41807497.17	37284957.37	48651636.74	21447247.99	26874571.79	31653396.6	37674683.05	72832242.69	62153664.59	158035416.8	22822401	170668780.6	119034001.8	156060252.1	98272413.14	151605245	35643277.44	40996122.61	19583128.57	50084537.92	12591599.17	17160996.59	14152067	35992739.7	129135042.3	42707293.84	170714704.9	3500397.485	13371870.87	50959372.66	80708	14209651.43	102290.0836	80708	34090061.7	80708	80708	33533314.08	796215.4615	38737066.23	110784158.4	80016141.29	42707293.84	55759110.09	22191067.02	16146975.15	6725478.159	7061643.639	24824331.62	19741594.81	10618764.56	11485668.84	48222793.37	34970204.05	41622037.76	50029052.06	53262804.54	56021432.72	56650994.61	27131249.26	39881190.3	41508330.58	61578524.69	4562905.886
CHEBI:17306	C12H22O11	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1	Maltose	918.43188		TMS	1	28.534	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	97.7				Maltose, 8TMS isomer 2	80708	80708	54936330.44	94669367.8	103280503.1	218962307	233945184.8	290994880.7	89976682	277303511.8	124030153.2	212859342.1	81419586.2	79017778.29	67813784.49	114454971	81078074.11	103215525.6	177888652.7	500968892.3	109996933.4	125751523.5	87910762.87	45006436.13	155719532.8	31809120.86	292396753.1	129.2786093	319322465.8	105925954.7	120462976.6	128744142.5	140549015.1	116814054.1	91529856.65	275450793.1	107910512.1	26941339666	1501788846	682773022.6	89344370755	959690254.7	20777346008	2.71E+11	1086283097	2.46E+11	9901464447	261.5287905	19150672838	33177084.68	8651571699	12811317123	275450793.1	18909888635	47406463.65	191825618.2	94494825.57	66187830.14	86880859.97	73166094.02	66936174.67	973323830.8	1192786849	267.2521126	106212787.3	28074034.74	232097479.5	47421293.4	92505031.49	75719969.72	45681623.06	44291016.32	290.6495585	2.08E+11
CHEBI:16217	C6H10O6	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1	D-Glucono-1,5-lactone	466.2053		TMS	1	20.679	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	94.6				D-Glucono-1,5-lactone, 4TMS	80708	80708	17662478.81	16537037.68	8241633.649	11963669.55	17997124.32	9337993.571	23743703	9695066.406	10370045.66	8559939.045	15001894.08	257.5787234	8978270.428	9253764.225	14149933.59	13301183.93	12196465.64	13699111.86	14930075.11	226.0765109	18941109.4	18951253.51	17088909.26	189.1213401	15879570.01	129.2786093	16560172.57	14699442.9	14401236.94	12775942.16	11495708.28	12608747.16	266.1417184	263.2051872	390.6470401	80708	175.6764675	7824666.866	8272116661	10063115.25	294921307.6	38377950045	10191901.85	4160933821	1.03E+11	9489067.402	4948410802	8223788.404	1.22E+11	84966738151	263.2051872	52156701684	9962982.418	10160560.29	10229661.45	10580692.75	18885899.41	318.9851345	18680922.76	11475941.65	10201751.16	9045070.784	11432659.04	16842411.5	15524413.63	23129564.66	14338496.38	12119455.29	6948667.853	251.3174779	9721319.183	63518720440
CHEBI:17924	C6H14O6	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1	D-Sorbitol	614.31565		TMS	1	21.25	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.4				D-Sorbitol, 6TMS	80708	80708	6276913.776	5258264.667	7247405.62	4300054.244	5369788.288	5849264.919	6666567	5143277.44	4884440.232	6032012.882	5795589.683	4734814.067	4621641.146	5184141.223	5631336.003	9058144.259	7140950.582	21266722.91	5619140.199	16341117.78	14649162.53	46397884.53	16246909.11	54935629.82	5973335.861	14145784.11	8396279.73	13810973.27	6655313.602	8024328.754	8445289.272	13319431.15	17004951.16	8637917.379	20033637.36	36746823.89	8378643.73	5600605.106	4535034036	6133268.568	212591616.4	1750944.338	6181738.832	2978845167	33406540.36	8700944.473	3107985924	8154448.58	29065927.48	52662500.97	8637917.379	11033230.67	8736274.107	7749408.494	7500971.157	6834843.865	6750118.367	8512789.611	4646960.189	5766171.478	6287743.565	7225060.378	8003293.965	8108889.579	6335491.294	7575825.879	8016941.906	5469646.65	6123398.512	5252931.705	6774961.549	18845618.4
CHEBI:15676	C4H6N4O3	NC(=O)NC1NC(=O)NC1=O	InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)	Allantoin	446.20155		TMS	1	20.678	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	GMD	2018	MSI:1		CompoundDiscoverer 3.3	95.2				M000092_A189007-101-xxx_NA_1876,44_PRED_VAR5_ALK_Allantoin, 4TMS	80708	80708	110933869.3	124446114.1	201.8987004	85031596.4	129520839.3	22460813.68	171452853	15580122.34	73522178.28	61380242.73	107937626.6	76530377.07	59517461.94	52166474.09	98890711.85	102627850.2	95539973.59	120981065.6	103023769.7	140854643.6	178191668.9	117227925.1	138625940.4	130231687.4	106931090.2	46009271.57	98535603.19	81798557.65	94665456.38	50062868.24	50426483.52	90224206.91	109884886.1	263.2051872	390.6470401	1003891034	12855278.88	11265454.26	692687571.7	9805093.705	4228627.092	993164871.9	366.4923988	252298332.3	2295114959	55142503.85	454037598.7	242.0959523	2095741874	1633872398	263.2051872	1286259632	21479954.38	38416649.66	49182753.51	47293068.4	129502014.6	135240153.7	137592670.3	42559333.29	37186535.41	56300833.07	56473509.94	135574719.8	111170491.7	190292649.2	72152454.86	67996484.7	13178646.85	65434729.39	40681917.29	1310501257
CHEBI:18019	C6H14N2O2	NCCCC[C@H](N)C(O)=O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	L-Lysine	434.26309		TMS	1	21.116	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.1				L-Lysine, 4TMS	911388.2435	80708	1369678.641	1036498.261	1469618.227	1587530.286	1141216.46	1514345.175	2007169	1039500.368	1815885.603	1182886.815	1453519.919	1129412.633	891930.1751	983590.6508	1253736.018	1614165.901	1397909.449	2149119.295	1109734.573	2387804.336	1840029.771	2417932.774	1524673.587	2188458.469	1078282.022	1475280.864	1043646.54	1419196.026	1006168.136	835128.7063	945252.6122	1565939.551	1819183.425	249371.9483	252357.9879	1084096481	512267.0023	591412.942	113178373.9	432603.888	13095.37883	1439759969	573665.7715	66450440.72	1161851421	1047156.972	46849441.92	944615.5962	2967653414	2377280158	249371.9483	1664210254	935054.8138	617210.0931	900418.9571	768569.3219	937514.8296	1172251.325	758148.445	988934.3734	2300427.711	1738968.875	1713676.743	2107514.55	1351257.402	1622140.706	900764.8601	1089443.197	1313655.211	1171619.321	1503278.27	1796518825
CHEBI:15756	C16H32O2	CCCCCCCCCCCCCCCC(O)=O	InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)	Palmitic Acid	328.27921		TMS	1	22.465	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	94.9				Palmitic Acid, TMS	80708	80708	4628790.615	3224479.68	3390908.782	2564402.732	2624996.658	3436273.663	2013414	3045270.528	2833129.869	8142301.327	3360663.786	2910754.054	3431683.984	3777861.826	3757009.399	3197765.836	3257989.637	4212793.332	4656363.811	4902349.529	4545294.535	4051350.868	3305023.339	3449624.424	3199143.247	6798560.728	7883350.553	6999264.119	7935844.124	8264770.511	7627615.786	7076456.53	5657384.986	4723802.329	7101709.188	3539226.076	7683112.71	5056301.28	533236038.8	7600875.765	79126550.35	252605.5584	6612564.988	377704899.5	2057335.226	6565509.162	176130465.3	4621518.729	80708	1476106.842	4723802.329	1654161.05	4768653.094	5194530.057	5967716.816	4621609.389	5012203.127	5092107.292	5280401.831	5135572.834	5911711.064	4970344.101	4855969.08	4793020.427	3288052.234	4633007.767	5157389.004	4501106.496	5092970.274	4784142.101	4712725.425	1148737.191
CHEBI:33198	C6H12O7	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1	D-Gluconic acid	628.29491		TMS	1	21.936	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	97.9				D-Gluconic acid, 6TMS	80708	80708	20971536.07	26044412.07	28795791.68	24270358.79	15030777.54	21945616.48	21321336	17730528.53	20130319.38	32832694.54	14936262.86	17913739.64	20324430.43	22959405.75	17040341.75	45271243.58	31962976.8	103276694.4	18596170.83	93814475.52	62757898.84	251784595.8	86287695.2	348994258.5	22495122.22	79991978.77	41213797.27	62783852.7	25079976.69	36604238.58	36887663.22	64512912.37	132855328.4	24304585.81	140770635.1	659445376.4	49388020.13	15789846.84	1148801.106	20132106.65	2726648.964	80708	24383418.1	80708	80708	28609222.03	478039.6923	25418361.13	474428.0152	1753275.105	24304585.81	80708	34395757.17	21441478.33	28453878.69	28593952.55	19431516.7	21249989.82	15879759.73	22208586.61	37683962.49	30753658.43	23991067.8	31703252.1	29156820.32	21496070.45	34806199.45	21775161.81	30086991.37	18262782.11	27487144.27	80708
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	Oxoglutaric acid	333.14223		TMS, MOX	1	16.912	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	97				Oxoglutaric acid, 2TMS 1MOX	80708	80708	7086085.955	7377136.378	7580881.14	6360119.757	7412103.894	5996956.815	6166069	5492618.322	6564441.469	6673129.169	4577447.805	8048782.447	7821782.565	6595675.761	7243945.693	7780719.358	6517446.18	5105606.382	7378557.867	9171900.389	4190618.377	6890150.783	4195515.404	5833533.245	3018767.097	8092421.318	4914310.86	11187843.59	7210452.44	7595308.725	7348302.366	5061964.362	3752288.08	4370331.181	5431418.192	3313188.206	4066871.184	4837833.32	80708	5253252.585	176366.0891	80708	4512101.443	80708	1571033.588	6159448.584	80708	8572521.718	1795215.97	668495.8684	4370331.181	3895631.627	4456692.546	4405571.327	5886374.66	7820042.198	6142554.339	5760024.076	5646373.299	5436773.368	4737684.129	5532187.148	5162057.429	6360777.871	8986044.161	7268118.234	8451895.226	6505561.807	4867220.796	6326351.329	6895675.846	80708
CHEBI:15428	C2H5NO2	NCC(O)=O	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	Glycine	291.15006		TMS	1	12.956	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98				Glycine, 3TMS	80708	80708	342333429.2	271284318.1	509599108.7	294613268.1	254920104.5	410446206.2	440830718	286597825.6	453818627.9	267974685.3	386879054	322189837.5	215012704.1	269080265.8	231966222.2	257475999.2	249952242.6	548657580.6	180675809.8	543452547.3	338499153.5	403429488	318660135.4	406139599.5	317809266.3	275045005.6	193918634.9	306103331	169958516.8	169426140.1	181527461.2	408909530.8	427472548.8	373979631.9	521015066	135193111	230182768.6	189161810.6	80708	236299132.3	13095.37883	80708	256311306.4	80708	80708	256442361.2	80708	235015377.9	80708	80708	373979631.9	53783058.24	230372218.6	161977208.8	182339604.6	161977139.4	238959261	281520040	149927038.5	246017473.2	313891925.5	269591355.4	228594801.9	344094198.2	266570836.8	278063092.2	229806505.2	194969722.2	257156465.8	204534558.6	293217942.5	50757521.55
CHEBI:18050	C5H10N2O3	N[C@@H](CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1	L-Glutamine	362.18717		TMS	1	19.396	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	96.3				L-Glutamine, 3TMS	80708	80708	254999123.3	33661785.85	138450838.5	139788501.4	29859536.76	194569187.8	208041001	82264475.8	287835577.8	100275082.8	165934459.4	116115637.8	15730214.54	120137385.2	40956177.94	26493698.27	38007778.05	382300148.5	61805985.27	371670074.4	142356000.4	164237165.5	86770970.82	64263157.97	84474654.39	14046807.56	30489789.58	39073915.45	333.3073746	7133153.612	10826764.42	114858013.1	114740910	31462.82556	390.6470401	30963305.25	138059.3954	98005.30036	80708	326.0162227	13095.37883	80708	366.4923988	80708	80708	28196828.79	80708	4785681.928	80708	80708	31462.82556	80708	3461528.606	4770975.023	1031260.958	940154.0224	37070640.27	13649492.93	6443181.295	22297.71186	9113.917151	137361.1718	40665.19045	8688563.828	10033162.46	17320007.24	10498614.26	274546.0228	27119.40241	136496.6866	61283.99765	80708
